x,y,z,q_x,q_y,q_z,q_w
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-200.528,-372.764,-6.103,0.0,0.0,-0.207776681744,0.97817628806
-199.058,-373.418,-6.103,0.0,0.0,-0.215139639231,0.976583296822
-197.501,-374.139,-6.103,0.0,0.0,-0.225607863699,0.974218195189
-195.944,-374.901,-6.103,0.0,0.0,-0.220074982004,0.975482958486
-194.053,-375.8,-6.103,0.0,0.0,-0.228334586929,0.973582721915
-192.266,-376.687,-6.103,0.0,0.0,-0.223948182126,0.974601052597
-190.477,-377.555,-6.103,0.0,0.0,-0.213703010049,0.976898676167
-188.588,-378.423,-6.103,0.0,0.0,-0.202960159939,0.979186996175
-186.688,-379.246,-6.103,0.0,0.0,-0.202960159939,0.979186996175
-184.788,-380.069,-6.103,0.0,0.0,-0.187661205084,0.982233817432
-182.854,-380.836,-6.103,0.0,0.0,-0.187661205084,0.982233817432
-180.92,-381.603,-6.103,0.0,0.0,-0.183532986144,0.983013551787
-178.997,-382.347,-6.103,0.0,0.0,-0.183532986144,0.983013551787
-177.074,-383.091,-6.103,0.0,0.0,-0.175013889468,0.984565964521
-175.14,-383.801,-6.103,0.0,0.0,-0.175013889468,0.984565964521
-173.206,-384.511,-6.103,0.0,0.0,-0.175013889468,0.984565964521
-171.272,-385.221,-6.103,0.0,0.0,-0.175013889468,0.984565964521
-169.338,-385.931,-6.103,0.0,0.0,-0.175013889468,0.984565964521
-167.404,-386.641,-6.103,0.0,0.0,-0.167364955587,0.985895010456
-165.436,-387.329,-6.103,0.0,0.0,-0.180652088147,0.983547061939
-163.479,-388.073,-6.103,0.0,0.0,-0.180652088147,0.983547061939
-161.522,-388.817,-6.103,0.0,0.0,-0.18360510217,0.983000084668
-159.543,-389.583,-6.103,0.0,0.0,-0.199320096617,0.979934436115
-157.474,-390.461,-6.103,0.0,0.0,-0.193368578469,0.981126186003
-155.416,-391.305,-6.103,0.0,0.0,-0.193368578469,0.981126186003
-153.358,-392.149,-6.103,0.0,0.0,-0.193368578469,0.981126186003
-151.3,-392.993,-6.103,0.0,0.0,-0.193368578469,0.981126186003
-149.242,-393.837,-6.103,0.0,0.0,-0.193368578469,0.981126186003
-147.184,-394.681,-6.103,0.0,0.0,-0.183069368945,0.983099998044
-145.126,-395.475,-6.103,0.0,0.0,-0.183069368945,0.983099998044
-143.068,-396.269,-6.103,0.0,0.0,-0.183069368945,0.983099998044
-141.01,-397.063,-6.103,0.0,0.0,-0.187042849034,0.982351756056
-138.874,-397.907,-6.103,0.0,0.0,-0.187042849034,0.982351756056
