time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2019/10/22/08:46:50.093055,4771,1571759210,28091000,/map,-206.2080078125,-370.92401123046875,-11.798083305358887,0.015391470162217206,-0.006774941739698798,-0.15684138061530933,0.9874806246895952
2019/10/22/08:46:50.200019,4772,1571759210,128940000,/map,-205.82151794433594,-371.0620422363281,-11.784876823425293,0.014845480641826302,-0.006156395977665112,-0.15734485495758752,0.9874129364715934
2019/10/22/08:46:50.287996,4773,1571759210,229804000,/map,-205.43597412109375,-371.1940612792969,-11.792496681213379,0.01427146611419756,-0.006530086717582554,-0.15846528932254933,0.9872398063805636
2019/10/22/08:46:50.391592,4774,1571759210,330682000,/map,-205.0518798828125,-371.3329162597656,-11.771867752075195,0.013840252059581195,-0.006759457472690819,-0.15999695620608714,0.9869973308790603
2019/10/22/08:46:50.495619,4775,1571759210,431529000,/map,-204.6587677001953,-371.467529296875,-11.769376754760742,0.014117790528313048,-0.00615891450110558,-0.1620679343468509,0.9866593841946224
2019/10/22/08:46:50.612318,4776,1571759210,532386000,/map,-204.24575805664062,-371.6257019042969,-11.741877555847168,0.014122780619362688,-0.005066731205540858,-0.16447116130260578,0.9862677691186306
2019/10/22/08:46:50.696264,4777,1571759210,633287000,/map,-203.85494995117188,-371.7725830078125,-11.74614143371582,0.014033726417168544,-0.0052433630669253585,-0.16648182491992544,0.9859307093492563
2019/10/22/08:46:50.796685,4778,1571759210,734127000,/map,-203.44580078125,-371.9229736328125,-11.74630355834961,0.013763688816090313,-0.006686226015283696,-0.1691625024574453,0.9854693820785003
2019/10/22/08:46:50.890740,4779,1571759210,834972000,/map,-203.05450439453125,-372.070556640625,-11.730596542358398,0.014240360419074609,-0.006004859964025446,-0.17174930547594194,0.985019456589807
2019/10/22/08:46:50.988825,4780,1571759210,935832000,/map,-202.64883422851562,-372.2198181152344,-11.729214668273926,0.015243597128940564,-0.004867319514352221,-0.17439834874883,0.9845451527995032
2019/10/22/08:46:51.101907,4781,1571759211,36685000,/map,-202.25730895996094,-372.3789978027344,-11.725166320800781,0.015652697781597464,-0.004810620826568494,-0.17686925256721053,0.984098124414297
2019/10/22/08:46:51.195664,4782,1571759211,137624000,/map,-201.86346435546875,-372.5315246582031,-11.706548690795898,0.01560602819488684,-0.004722322933241332,-0.17921024088428075,0.983675678825238
2019/10/22/08:46:51.305124,4783,1571759211,238440000,/map,-201.4886016845703,-372.6808776855469,-11.696368217468262,0.01652386795622738,-0.004470273802514147,-0.1817861554390812,0.9831890825932588
2019/10/22/08:46:51.404667,4784,1571759211,339384000,/map,-201.10372924804688,-372.84063720703125,-11.696741104125977,0.01655844844116442,-0.004852202426635657,-0.18421632738375285,0.9827342563694798
2019/10/22/08:46:51.501954,4785,1571759211,440151000,/map,-200.71658325195312,-373.0013122558594,-11.683366775512695,0.01677014185351489,-0.0045275539055691,-0.18607455193302452,0.9823820665712344
2019/10/22/08:46:51.617131,4786,1571759211,540989000,/map,-200.34371948242188,-373.1693420410156,-11.671902656555176,0.016974762573069072,-0.0034166165891847803,-0.18812624679826417,0.9819922094559961
2019/10/22/08:46:51.708358,4787,1571759211,641853000,/map,-199.98159790039062,-373.3294372558594,-11.666166305541992,0.0163037193440461,-0.0031822319389237545,-0.1901173655272815,0.9816208277437901
2019/10/22/08:46:51.808312,4788,1571759211,743263000,/map,-199.5999298095703,-373.4928894042969,-11.66154956817627,0.016584662910550413,-0.003409702473746512,-0.19201800503932887,0.981245335594468
2019/10/22/08:46:51.902344,4789,1571759211,843575000,/map,-199.20909118652344,-373.66314697265625,-11.659150123596191,0.016722520397674006,-0.003777365771419063,-0.1937963419346915,0.9808919750268683
2019/10/22/08:46:52.014127,4790,1571759211,944431000,/map,-198.84071350097656,-373.8332214355469,-11.658629417419434,0.017372340880214044,-0.004369566772329623,-0.19506581966411413,0.9806265520866397
2019/10/22/08:46:52.121825,4791,1571759212,45292000,/map,-198.45909118652344,-374.0065002441406,-11.655355453491211,0.018101504167183785,-0.004876516169582627,-0.1967483263421127,0.980274783526798
2019/10/22/08:46:52.236267,4792,1571759212,146152000,/map,-198.0864715576172,-374.16375732421875,-11.644556999206543,0.019586767471542872,-0.00477545598485671,-0.19840018331776652,0.979913731314971
